arrived_at,num_prefill_tokens,num_decode_tokens
0.0,4808,10
0.05200004577636719,3180,8
0.09818911552429199,110,27
0.1406841278076172,7433,14
0.4449939727783203,34,12
0.539186954498291,374,14
0.698570966720581,6985,9
1.0160410404205322,34,23
1.2993121147155762,1145,7
1.2993371486663818,201,24
1.3989219665527344,137,9
1.3990869522094727,7427,8
29.479068994522095,1555,19
29.58040714263916,3893,19
29.61032509803772,1827,10
29.679152965545654,394,17
29.717488050460815,675,6
30.177869081497192,7436,9
30.225731134414673,158,26
30.482726097106934,6587,18
30.503458976745605,763,8
30.983654975891113,1556,18
31.28541612625122,5108,12
31.454687118530273,159,127
31.45501708984375,458,67
31.640022039413452,2464,30
31.807121992111206,4009,51
32.627382040023804,1632,9
32.707961082458496,2567,45
33.079994916915894,730,36
33.34007501602173,5108,10
33.5340781211853,2569,7
33.57925009727478,1832,7
33.58664798736572,1630,9
33.6797080039978,6587,13
33.681467056274414,7436,6
33.78100800514221,1044,16
33.8800630569458,327,124
33.98303508758545,1630,9
34.28443908691406,3351,9
34.445908069610596,1562,18
34.87897205352783,3724,9
34.97918891906738,328,43
35.034122943878174,965,8
35.34715008735657,6586,11
35.35450005531311,2366,7
35.79935812950134,328,40
35.98099112510681,1513,29
36.280487060546875,328,9
36.6493980884552,2025,9
36.704025983810425,2169,13
36.7790470123291,74,14
37.37942314147949,771,142
37.42317008972168,76,18
37.89820194244385,75,16
38.07979106903076,527,27
38.21141505241394,2024,97
38.680537939071655,197,7
38.69152903556824,109,12
38.88715195655823,432,10
39.08062410354614,2025,19
39.28596591949463,6586,9
39.32751703262329,7435,9
183.06179094314575,2648,15
183.1579360961914,2564,9
183.1590220928192,3245,15
183.26017212867737,2144,9
183.458074092865,2128,13
183.45990896224976,7436,8
183.56283497810364,250,6
183.65655398368835,1177,23
183.6566081047058,2743,38
187.15934205055237,144,18
187.25830698013306,88,19
187.25902915000916,6819,82
187.36155796051025,1179,13
187.55857110023499,3154,9
187.55939602851868,7435,13
187.56574010849,2656,11
187.66133999824524,236,226
188.25537109375,90,25
188.2567000389099,3631,15
188.25940012931824,1901,20
188.26221203804016,318,9
188.35417008399963,4556,16
188.36212801933289,5925,52
188.36416602134705,43,33
188.36633110046387,134,18
188.45427012443542,163,13
188.4576439857483,3286,15
188.458270072937,522,14
188.56144094467163,583,6
191.09890699386597,318,7
191.35920405387878,147,17
191.35935807228088,5025,17
191.55810809135437,4557,9
191.65881299972534,1468,6
191.65894603729248,164,18
191.65991497039795,584,24
192.16214108467102,523,9
192.35468196868896,61,9
192.35580396652222,1724,11
192.36394095420837,1891,16
192.36396408081055,2507,6
192.45789909362793,2147,22
192.45798897743225,3066,6
192.46053910255432,118,9
192.46058893203735,2657,11
192.46172094345093,4556,25
192.5608639717102,5926,121
192.563059091568,7435,6
192.655198097229,149,20
195.2626280784607,3658,6
195.361958026886,3397,7
195.36209797859192,5927,21
195.36316013336182,1894,7
195.45418310165405,2647,6
195.4629590511322,169,25
195.55988001823425,138,29
195.65632700920105,5928,6
195.659166097641,154,7
195.66049909591675,1107,13
195.75935411453247,1894,19
195.9590289592743,2647,12
195.96052408218384,1182,18
195.96221899986267,1650,11
196.05413007736206,5538,697
196.0553150177002,526,7
196.25608110427856,152,15
196.25977206230164,4566,20
196.3576319217682,7419,6
196.36144304275513,46,25
196.3624451160431,2862,13
196.4541721343994,1724,32
196.55717992782593,1724,16
196.5616180896759,155,30
196.6545910835266,81,15
196.65866613388062,1650,13
196.65941309928894,1364,9
196.6596269607544,1908,22
196.66159796714783,123,15
196.66247510910034,81,7
196.75433206558228,1724,15
196.7604250907898,247,84
196.76572704315186,3854,10
196.76692605018616,83,6
196.86230492591858,156,21
196.86235404014587,247,71
196.95737314224243,3066,12
196.95747208595276,3517,11
196.95893597602844,2081,6
196.9616301059723,143,12
197.06020402908325,2649,20
197.15766501426697,2655,9
197.2573881149292,1724,18
197.26235914230347,2128,13
197.357430934906,3067,9
197.3614161014557,2926,12
197.46029710769653,1900,46
197.46057796478271,2047,106
197.46166896820068,5923,55
197.56081414222717,2971,9
197.56162309646606,2156,13
197.66033411026,573,6
197.66184210777283,14,10
197.66295194625854,232,6
197.66676592826843,3284,7
197.7577941417694,1364,9
197.75931596755981,161,16
197.76244401931763,316,23
197.95605897903442,2084,16
197.9585690498352,2068,11
197.96275901794434,1180,39
198.256737947464,2654,17
198.261234998703,146,16
198.36061000823975,318,11
198.36251306533813,3288,10
198.4585349559784,252,17
198.45971512794495,35,14
198.55694198608398,337,13
198.55700492858887,109,6
198.55961394309998,148,43
198.5608310699463,985,27
198.56308913230896,2136,8
198.5667850971222,2657,7
198.76133513450623,3289,15
198.76314902305603,2136,12
198.85726714134216,135,6
198.8607349395752,181,105
198.9542739391327,3399,10
198.95963096618652,1067,9
198.9606490135193,5831,11
198.96084094047546,153,15
198.96389198303223,527,7
198.96591711044312,1905,17
198.97727608680725,1293,25
199.05795812606812,1180,6
199.05802011489868,61,21
199.0733790397644,1278,9
199.08958506584167,65,10
199.17347192764282,217,9
199.25646996498108,287,9
199.25652599334717,3064,15
199.25660705566406,116,10
199.2591609954834,1638,9
199.25924491882324,3396,7
199.37351298332214,2077,15
199.37360215187073,4629,6
199.37366604804993,1084,6
199.37481093406677,1259,8
199.4774091243744,7332,26
199.4807620048523,4081,29
199.6757469177246,1137,58
199.75939512252808,1430,12
199.77437114715576,596,6
199.8553490638733,174,18
199.8617069721222,2969,25
199.86399292945862,2157,7
199.87545013427734,596,67
199.95447897911072,175,18
199.96048402786255,108,11
199.96150612831116,161,11
199.96152901649475,3399,19
199.97599911689758,1278,9
200.07324194908142,296,6
200.08187103271484,4629,6
200.08232307434082,842,7
200.37500405311584,220,6
200.37501001358032,4771,16
200.5732569694519,1059,9
200.57331800460815,1087,6
200.67513394355774,14,9
200.77581596374512,1326,6
200.97569704055786,627,48
200.97997212409973,4769,9
201.17319011688232,1326,6
201.68531012535095,1195,9
201.77789998054504,40,16
201.87516808509827,2187,13
201.87518000602722,4083,41
202.0063030719757,846,12
202.11135506629944,1260,19
202.13451313972473,1197,6
202.27325797080994,7435,13
202.2770071029663,6051,13
202.77318692207336,1196,18
203.20665097236633,847,32
203.23549008369446,7436,11
203.57330703735352,1257,9
203.6771149635315,4770,39
203.91888904571533,847,26
204.36086797714233,848,8
204.57395195960999,694,155
204.77448391914368,7435,13
204.79951906204224,847,8
204.80740094184875,1748,15
205.00292706489563,7335,11
205.1754491329193,4803,13
205.1765239238739,1200,6
205.47317910194397,694,16
205.47518491744995,1490,6
205.47964096069336,6054,6
205.57506704330444,847,13
205.6771969795227,1201,12
213.7452199459076,1141,22
213.8411259651184,377,11
213.94369411468506,7421,13
214.03573894500732,389,12
214.04072403907776,1144,10
214.04144096374512,3640,14
214.1432900428772,968,16
214.14400601387024,3376,118
214.23622298240662,2436,7
214.73694610595703,481,11
214.73953199386597,2165,10
214.74169206619263,103,13
214.74170398712158,3548,15
214.9423770904541,483,9
215.040118932724,2113,145
215.04121208190918,2436,14
215.04488110542297,2437,13
215.13983702659607,1292,70
215.1410219669342,7429,9
215.24098205566406,7408,12
215.24202799797058,484,10
215.2439169883728,2575,16
215.2449769973755,2113,123
215.3389720916748,1282,15
215.34051299095154,2595,186
215.4383420944214,1852,12
215.4407980442047,878,17
215.5376739501953,945,9
215.5432689189911,7419,8
215.54346704483032,1148,39
215.544420003891,55,6
215.7431309223175,239,10
215.83495211601257,55,8
215.84068512916565,56,9
216.6415090560913,486,16
216.83823895454407,176,88
216.83919405937195,881,12
216.83945894241333,1156,17
218.5430519580841,971,40
218.54313111305237,1006,7
219.6073489189148,2860,239
219.6074240207672,5219,8
219.63589000701904,1922,6
219.63892602920532,3378,8
219.7037010192871,2872,20
219.74011898040771,1175,9
219.79898309707642,6606,11
219.8068470954895,2005,13
219.83807706832886,882,11
219.84122896194458,881,8
219.84133911132812,1292,70
219.90100812911987,387,10
220.00442600250244,2172,14
220.00836205482483,2001,6
220.10222697257996,387,9
220.10334491729736,5423,9
220.1034870147705,35,17
220.33617305755615,879,14
220.42108392715454,917,11
220.49941492080688,4028,218
220.53530502319336,3379,7
220.54082012176514,3945,26
221.403578042984,89,8
221.4036989212036,1202,7
221.40380597114563,6607,11
221.5019829273224,1294,6
221.5020570755005,6906,302
221.5027620792389,917,11
221.50952100753784,1096,16
221.60334706306458,1291,22
221.6975200176239,50,66
221.79876899719238,1847,8
221.80492115020752,736,21
221.8980209827423,5431,12
222.18375492095947,1575,28
222.18480396270752,727,7
222.282408952713,45,16
222.28248810768127,2353,12
222.38160109519958,194,6
222.38746094703674,5881,6
222.3884150981903,3253,73
222.478609085083,194,6
222.48163509368896,1233,153
222.483402967453,195,13
222.48877906799316,195,14
222.54041194915771,2596,13
222.54361510276794,1258,16
222.57910895347595,5697,19
222.57935905456543,1031,9
222.58503198623657,5699,7
222.58507299423218,1648,10
222.64209699630737,552,12
222.6421389579773,1861,9
222.67916107177734,4681,58
222.67926907539368,5801,7
222.68548893928528,729,17
222.7351589202881,879,8
222.78214812278748,5886,8
222.78216004371643,3765,9
222.7831790447235,3760,13
222.78509402275085,53,42
222.842355966568,108,15
223.54917192459106,134,6
223.6370050907135,7436,10
223.63813304901123,58,13
223.93650794029236,63,8
223.9395570755005,1863,15
224.18603491783142,65,16
224.282546043396,2670,6
224.28836393356323,5801,91
224.38849902153015,5801,37
224.40855312347412,52,18
224.50022101402283,92,15
224.58346509933472,1291,48
224.5871720314026,1916,9
224.60046792030334,4030,72
224.60947704315186,2555,11
224.6385259628296,130,13
224.6428999900818,768,11
224.6832890510559,1469,10
224.68543004989624,1879,18
224.6874439716339,2241,10
224.68838000297546,2976,16
224.68838691711426,201,121
224.73965692520142,945,9
224.73980808258057,111,23
224.8057370185852,53,44
224.83557605743408,2174,8
224.83565402030945,2215,16
224.8992760181427,6611,10
224.8993000984192,1747,9
224.8995270729065,6919,16
224.9365589618683,6646,14
224.94247698783875,2608,33
225.10314202308655,2553,11
225.10604906082153,5442,11
225.13712811470032,110,12
225.2419331073761,324,10
225.242084980011,883,10
225.43444895744324,928,6
225.53699207305908,1292,12
225.53785300254822,2608,34
225.5379979610443,2123,21
225.83420205116272,2116,33
225.9352970123291,2287,10
225.93620014190674,882,11
226.50037002563477,45,11
226.60457611083984,738,21
226.80924892425537,859,14
226.89831399917603,5452,10
226.90371108055115,6478,41
227.00493001937866,266,52
227.0060510635376,859,22
227.00720405578613,4035,25
227.08798599243164,4684,6
227.09983706474304,94,14
227.10528111457825,6918,49
227.2028350830078,50,20
227.20934104919434,6608,11
227.30040907859802,46,21
227.4068751335144,97,10
227.59755897521973,46,13
227.59844493865967,5461,13
227.5984570980072,4991,9
227.60349798202515,1969,100
227.60433292388916,4821,23
227.68485808372498,2979,11
227.77982592582703,1034,12
227.78678512573242,736,12
227.8833520412445,5801,61
227.88547706604004,2979,19
227.88923597335815,2242,17
228.18495106697083,163,53
228.18618512153625,2679,222
228.18917512893677,1469,10
228.27864503860474,193,11
228.27945804595947,313,26
228.28366708755493,5803,6
228.28382802009583,4685,6
228.28918194770813,1038,9
228.37980198860168,72,9
228.4806671142578,1469,10
228.4828770160675,4530,11
228.48684906959534,1650,39
229.5981731414795,46,9
229.60230207443237,47,12
229.7033770084381,94,13
229.70348811149597,5473,7
229.70361614227295,661,22
230.00304412841797,5473,7
230.00696301460266,3330,21
230.00791096687317,661,12
230.00801396369934,1980,9
230.40496492385864,3286,37
230.499596118927,94,8
230.59824299812317,3286,19
230.60537815093994,863,16
230.6090121269226,865,16
230.6981520652771,3287,9
230.70119309425354,5590,76
230.7028350830078,1981,7
230.80436992645264,97,8
230.8071551322937,2124,13
230.90008211135864,5479,13
230.90317511558533,50,9
231.50481700897217,3325,12
231.60086011886597,429,9
231.60094594955444,10,7
231.60186910629272,863,15
231.6044909954071,5503,9
231.70262813568115,1338,11
231.70361995697021,3324,6
231.70377802848816,5491,13
231.7063159942627,1397,9
231.70716905593872,10,16
231.70815896987915,2130,12
231.80177307128906,4829,16
231.8033640384674,98,12
231.80421113967896,863,9
231.99919414520264,1802,15
232.00315499305725,3326,11
232.00321197509766,5511,12
232.0041720867157,100,6
232.00505304336548,866,18
232.1036970615387,103,10
232.20132493972778,2130,8
232.2024290561676,5480,22
232.2063980102539,7435,21
232.30290007591248,2130,10
232.39781713485718,50,53
232.4023299217224,14,89
232.4024670124054,3287,70
232.6046440601349,7436,25
232.60491704940796,2956,116
232.69752192497253,866,33
232.801087141037,866,14
232.80506896972656,175,361
232.8051359653473,6922,300
232.89854097366333,60,19
232.90106511116028,15,85
232.90354108810425,5522,12
232.9074890613556,876,33
232.99852395057678,1397,9
232.99956893920898,5213,16
233.08469605445862,74,18
233.08661103248596,1001,12
233.09989500045776,5533,6
233.10158395767212,15,188
233.1064281463623,6490,7
233.10860300064087,301,12
233.10861015319824,876,59
233.1839690208435,3898,6
233.18399310112,1125,14
233.18501591682434,3251,27
233.1860010623932,3738,65
233.2002410888672,3330,9
233.20262813568115,5214,9
233.20380210876465,4057,12
233.38375401496887,1264,9
233.38392996788025,1027,27
233.40001797676086,137,15
233.40009808540344,4057,24
233.40109014511108,15,10
233.48304796218872,81,10
233.50035905838013,4990,12
233.68812704086304,1026,17
233.69876098632812,17,88
233.7039110660553,2653,7
233.80341792106628,430,28
233.90243697166443,2653,8
233.99913597106934,497,16
234.0031931400299,7434,12
234.008376121521,1421,25
234.08343505859375,1264,9
234.09855198860168,2654,7
234.10370206832886,17,206
234.19778513908386,15,248
234.20346999168396,408,7
234.30852603912354,17,43
234.47860097885132,5806,43
234.4796121120453,4685,6
234.48394107818604,3315,28
234.48401403427124,5803,87
234.5069990158081,409,56
234.5072090625763,143,9
234.50952911376953,2284,11
234.5806269645691,1469,10
234.6814079284668,1059,10
234.6854510307312,406,14
234.68777203559875,75,19
234.707102060318,2963,79
234.7850890159607,7433,12
234.7851300239563,1496,23
234.78691601753235,3320,27
234.78828310966492,1471,8
234.79747009277344,145,12
234.99759197235107,18,55
235.0002100467682,3268,14
235.07924103736877,7436,14
235.0804579257965,200,12
235.0846540927887,1495,6
235.08650493621826,1473,14
235.08752012252808,196,6
235.09963512420654,5538,13
235.1788079738617,1880,13
235.28000903129578,76,17
235.2810709476471,4688,52
235.28759598731995,1037,9
235.28838205337524,1498,8
235.2988920211792,997,638
235.39852213859558,146,8
235.48181200027466,6,12
235.48288202285767,5806,51
235.48303413391113,198,11
235.58082604408264,3616,18
235.58401012420654,1472,9
235.58413004875183,1498,9
235.58517694473267,80,9
235.68151211738586,1053,9
235.6867070198059,881,10
235.68671894073486,1042,10
235.77963209152222,4695,48
235.79780411720276,52,17
235.88221502304077,1497,9
235.88447093963623,79,9
235.89771509170532,504,10
235.89883494377136,896,14
235.98429012298584,202,6
235.99828910827637,100,18
236.00005912780762,145,12
261.14774894714355,1164,18
261.2634310722351,2546,11
261.36815905570984,2132,71
261.36901807785034,1205,12
261.3702790737152,3738,10
261.6359989643097,3634,7
261.7349569797516,1542,8
261.7350420951843,3296,24
261.73743891716003,2616,18
261.8348150253296,4662,10
261.83489298820496,675,7
261.83494210243225,101,12
261.8386869430542,1456,13
262.202819108963,1875,7
262.20289301872253,2615,22
262.2570481300354,3634,6
262.33461594581604,2547,6
262.52704405784607,1087,11
262.63522696495056,6055,10
262.6354670524597,248,9
262.6548550128937,1165,42
262.75725293159485,2822,56
263.035040140152,678,16
263.1351480484009,2615,24
263.13532614707947,120,17
263.2356071472168,100,13
263.43691992759705,7436,12
263.77894592285156,965,9
263.83592414855957,2547,11
263.85186409950256,2616,19
263.89307594299316,1549,67
264.1354639530182,6056,8
264.23493099212646,1201,6
264.2565679550171,924,13
264.25714898109436,251,49
264.33497500419617,3297,12
264.436399936676,2132,43
264.59643507003784,2096,7
264.6931390762329,264,8
264.9677541255951,2133,33
265.0979449748993,1872,19
265.2892429828644,7436,13
265.4378831386566,1163,16
265.5397901535034,56,18
265.77438497543335,599,6
265.8582811355591,264,14
265.8722839355469,908,23
265.9441840648651,1163,10
269.1613759994507,2755,9
269.25412607192993,3014,6
269.2550549507141,337,66
269.4581971168518,2545,7
269.45839405059814,143,6
269.55429005622864,349,13
269.5557110309601,5901,7
269.87832713127136,174,10
269.9542419910431,4078,12
269.9557430744171,7435,10
269.9857349395752,229,15
270.05881214141846,173,11
270.25488114356995,1432,25
270.5279200077057,2386,148
271.25509309768677,840,10
271.3548390865326,5957,13
271.45426893234253,3511,45
271.45535612106323,3014,13
271.8543710708618,172,14
271.97537207603455,4078,13
272.1093399524689,5902,21
272.15415692329407,2605,792
272.15501499176025,7435,9
272.1788880825043,3513,14
272.7315421104431,172,21
272.7457699775696,2504,16
273.15554904937744,1433,14
273.25717401504517,338,7
273.45730900764465,2504,17
273.7180941104889,1094,10
273.9203870296478,3768,41
273.95420002937317,1433,16
274.0595920085907,2867,6
274.06425404548645,5804,61
274.1577799320221,173,16
274.2541310787201,4075,10
274.2552900314331,2867,7
274.27413606643677,5961,11
274.3565740585327,7412,14
274.3611891269684,2506,10
274.45438599586487,144,6
274.5640490055084,2559,53
274.75443291664124,3514,87
274.75617814064026,41,8
274.85710096359253,1263,30
274.85882806777954,2507,6
274.95598006248474,2390,6
274.95623803138733,2093,9
275.05448603630066,2868,14
275.0599489212036,174,9
275.45730805397034,200,10
275.5561399459839,718,6
275.67189502716064,3514,49
275.68515610694885,3777,15
275.7543160915375,2868,17
276.05429100990295,201,8
276.05904603004456,5963,7
276.4328770637512,1951,48
276.68898010253906,178,8
276.7626459598541,1698,6
276.85420393943787,173,15
276.8543839454651,7435,139
276.95441913604736,363,8
277.4544291496277,1953,15
277.55773997306824,292,15
277.7960741519928,3385,22
278.0543780326843,3515,54
278.1545600891113,41,36
278.2631571292877,204,63
278.39485812187195,336,9
278.6048369407654,4075,24
278.65627694129944,179,11
278.7549431324005,1434,18
279.0098309516907,224,12
279.0736150741577,2403,37
281.9049451351166,127,71
282.12589406967163,3265,7
282.1500120162964,55,777
282.19911098480225,146,35
282.23131799697876,3480,13
282.3191981315613,2003,46
282.498095035553,148,10
282.9676990509033,3480,12
283.02821612358093,4750,19
283.5651099681854,3480,10
283.59820103645325,148,32
284.11938214302063,3482,10
284.1207399368286,7436,14
284.1245620250702,247,13
284.2004280090332,741,18
284.5000801086426,7435,10
284.60486006736755,243,9
284.69775104522705,4749,39
284.87680411338806,3630,9
284.99581813812256,3281,6
285.07917308807373,6499,19
293.1785840988159,198,70
293.3797519207001,2689,22
293.3820090293884,747,8
293.4132869243622,1165,15
293.5095739364624,40,55
293.5130889415741,2330,8
293.6828269958496,356,8
294.01328206062317,298,60
294.1106650829315,767,35
294.11196303367615,767,11
294.2798099517822,747,9
294.58151602745056,356,7
294.6804461479187,7435,8
294.7810311317444,4675,14
294.90006494522095,2821,12
294.9001319408417,770,14
295.08415699005127,298,100
295.2024450302124,2331,6
295.58043909072876,1085,9
295.5804979801178,358,17
295.77999806404114,4656,9
295.9830491542816,2692,7
296.1797790527344,299,46
296.2022371292114,2462,11
296.379802942276,900,841
296.3801350593567,36,49
296.5178289413452,19,10
296.6820750236511,853,7
296.7841250896454,2825,7
296.78413105010986,348,16
297.3790349960327,774,16
297.4410960674286,854,8
297.9804251194,2825,295
297.9805340766907,349,34
298.18458914756775,298,115
298.2806899547577,261,6
298.3817491531372,37,34
298.5850930213928,854,16
298.58524894714355,261,6
299.5765471458435,6735,34
299.69052600860596,3026,17
299.74559807777405,3165,26
299.9573929309845,1985,19
300.0114920139313,1708,42
